ines_simulation_id,kraken_simulation_id,network_size,event_skew,node_event_ratio,num_event_types,max_parents,parent_factor,workload_size,query_length,simulation_mode,median_selectivity,xi,latency_threshold,total_projections_placed,placements_at_cloud,graph_density,strategy_name,strategy_status,combigen_time_seconds,ines_placement_time_seconds,ines_push_pull_time_seconds,ines_total_time_seconds,kraken_total_execution_time_seconds,kraken_strategy_execution_time_seconds,all_push_central_cost,inev_cost,ines_cost,kraken_total_cost,kraken_workload_cost,kraken_average_cost_per_placement,all_push_central_latency,ines_latency,kraken_max_latency
2f50e69a-2102-4772-90bf-0ecf19fc339a,a7e54bd7-4ba2-4d7c-9da6-61914b90d871,30,2.0,0.5,6,9,1.8,5,3,random,0.0001588438663464324,0,,7,0,0.12183908045977011,greedy,success,12.87,0.11,0.026274681091308594,0.13627468109130858,0.07663202285766602,0.06072092056274414,374372.0,187353.19957860938,40161.41288843725,15859.018943142542,12367.018943142542,2265.574134734649,4.0,10.0,8.0
ff6806f6-934b-46d6-b378-f8cf222527c1,b709435b-52ad-45c0-b7e8-23ba94cc25bc,30,2.0,0.5,6,9,1.8,5,5,random,0.00010342115715738408,0,,6,0,0.12643678160919541,greedy,success,24.85,0.13,0.05217790603637695,0.18217790603637696,0.2859671115875244,0.2702000141143799,348560.0,174380.72048128772,19750.685860547906,13088.306976525044,4743.5472439391715,2181.384496087507,4.0,20.0,12.0
5d582746-7450-4025-9451-4a5e2c24e05c,d31eee8b-dc34-470c-9b6a-f3b8a432bde2,30,2.0,0.5,6,9,1.8,5,5,random,0.00012746257789308547,0,,5,2,0.12758620689655173,greedy,success,40.92,0.08,0.03955221176147461,0.11955221176147461,0.13475608825683594,0.11914229393005371,495012.0,468730.64842953766,365972.5150835162,9858.370196761027,6610.370196761027,1971.6740393522055,4.0,12.0,12.0
f6d4a074-c618-41e6-8a71-42be9a351919,3ed09b85-5cca-4280-98a1-1620d1273cee,30,2.0,0.5,6,9,1.8,5,5,random,0.0001594102387286918,0,,6,1,0.13793103448275862,greedy,success,127.05,0.1,0.023787975311279297,0.1237879753112793,0.31413817405700684,0.29736995697021484,259916.0,111886.43587896433,10676.75472392892,6489.726207774643,3428.8936426563405,1081.621034629107,4.0,12.0,16.0
0ef2d200-1d35-48e1-855e-b69e63f26bf9,60cc1636-6486-4e28-95a2-c05d4b774bcf,30,2.0,0.5,6,9,1.8,5,5,random,0.00012293027478582947,0,,4,0,0.12988505747126436,greedy,success,48.17,0.06,0.0474848747253418,0.1074848747253418,0.2730109691619873,0.25749683380126953,471084.0,193608.37230399283,4056.216187839664,5652.753106982186,3.248042617295982,1413.1882767455465,4.0,10.0,16.0
2cae84dd-ded8-4f90-b305-19f01618f38d,078a2603-a1c7-4e73-9216-8583d12215e6,30,2.0,0.5,6,9,1.8,5,8,random,0.00018863841536599695,0,,13,0,0.12758620689655173,greedy,success,49.39,0.21,0.041422128677368164,0.25142212867736813,0.2921290397644043,0.2745351791381836,455392.0,227906.62367075664,47625.37200605851,24637.794439514953,544.2707910065507,1895.2149568857656,4.0,10.0,14.0
a114f834-651a-48ca-a1b4-ad2e90d00d55,fc1df27f-71d5-4e41-946e-2a369f632905,10,2.0,0.5,6,7,1.8,3,3,random,0.00016176615993811327,0,,3,3,0.14444444444444443,greedy,success,0.0,0.0,0.009221792221069336,0.009221792221069336,0.0030257701873779297,0.0016901493072509766,64314.0,80934.12257139185,49779.49107539492,20136.0,20136.0,6712.0,3.0,17.0,3.0
d21a6719-57aa-4550-b9bf-18ae85fb28be,49513524-ad3e-4ef0-a3ce-4bf3fe75f94d,10,2.0,0.5,6,7,1.8,3,3,random,0.00015596546025643443,0,,7,0,0.15555555555555556,greedy,success,0.01,0.01,0.02497720718383789,0.03497720718383789,0.03499412536621094,0.033724308013916016,99132.0,67696.67424255257,16067.015907375508,5714.064035782112,358.67935210615843,816.2948622545874,3.0,10.0,6.0
092a9b17-8789-47cf-be68-f82668c5b726,34390471-ebb0-4275-bd56-4d97c1ad2c33,10,2.0,0.5,6,7,1.8,3,3,random,0.00017140477305994462,0,,5,0,0.15555555555555556,greedy,success,0.01,0.0,0.021722793579101562,0.021722793579101562,0.044198036193847656,0.04303407669067383,114321.0,67106.71255661637,7015.879640742359,5138.902148642597,4296.902148642597,1027.7804297285195,3.0,9.0,5.0
b3518a64-9cf8-4b43-ad94-82e6c3ba7686,333cecf3-d4e4-4375-8ad5-d3611036e5d3,10,2.0,0.5,6,7,1.8,3,3,random,0.00013858100011829516,0,,3,0,0.16666666666666666,greedy,success,0.01,0.0,0.01704883575439453,0.01704883575439453,0.0054111480712890625,0.00441288948059082,141759.0,71914.29010825547,12185.91641118448,5435.0382211662845,0.008133028076496998,1811.679407055428,3.0,10.0,5.0
ae04ac05-9170-43de-af86-d7b257760953,6ad9f93a-fa44-4808-a6ee-315435a28b40,10,2.0,0.5,6,7,1.8,3,5,random,0.00013009165851001937,0,,8,0,0.15555555555555556,greedy,success,0.1,0.01,0.013683319091796875,0.023683319091796877,0.05767703056335449,0.05597519874572754,84306.0,56419.28170871863,8518.886338937145,2305.3436165533144,140.45208326441406,288.1679520691643,3.0,10.0,8.0
e3607a6b-b8ad-4927-8838-a862e12c7ec3,e849ac90-544c-4d4a-8478-82dd9084adba,10,2.0,0.5,6,7,1.8,3,5,random,0.00016302865288050802,0,,8,0,0.15555555555555556,greedy,success,0.12,0.01,0.0348050594329834,0.0448050594329834,0.09031391143798828,0.0886390209197998,32814.0,22288.04233412544,9763.460662451149,2375.1392281004964,56.57057054894359,296.89240351256205,3.0,10.0,7.0
33c8fcdf-0a78-45a6-9dbc-9684fe77186b,94ca2996-fe02-4d0c-a62b-24e482ad72cf,10,2.0,0.5,6,7,1.8,3,5,random,0.0001479465307562747,0,,6,0,0.13333333333333333,greedy,success,0.06,0.01,0.016887903213500977,0.02688790321350098,0.01521611213684082,0.013836145401000977,49302.0,33133.808316297225,6163.8731191491415,3750.3425831630343,150.34258316303476,625.057097193839,3.0,8.0,7.0
fe9e56ec-9928-40b6-9938-817ffab31bbc,0b825a28-97c8-4ed2-8c74-55a95eb23602,10,2.0,0.5,6,7,1.8,3,5,random,0.00014710927363199754,0,,9,0,0.16666666666666666,greedy,success,0.07,0.01,0.06900906562805176,0.07900906562805175,0.07315301895141602,0.07157516479492188,65886.0,46305.24309342419,14091.709238118452,5893.507753244522,46.113405575273134,654.834194804947,3.0,13.0,5.0
069f8fda-425d-4e50-98cf-2d59a7da681d,81fa5302-6e1f-41e7-b0d7-017c101ce600,10,2.0,0.5,6,7,1.8,3,8,random,0.00014107825883201706,0,,13,0,0.15555555555555556,greedy,success,0.98,0.01,0.054160356521606445,0.06416035652160644,0.20530104637145996,0.2030658721923828,102135.0,69626.81053304565,21799.87141529596,7728.1717944950415,1914.8551933918461,594.4747534226955,3.0,10.0,11.0
878b8929-cbd7-4778-b846-a43d2ca4e7ef,78cf7f5b-c15f-49dd-8ef8-d7eb63cde81b,10,2.0,0.5,6,7,1.8,3,8,random,0.00014199876113682325,0,,10,2,0.16666666666666666,greedy,success,1.15,0.01,0.03176617622375488,0.041766176223754885,0.12038683891296387,0.11859679222106934,42645.0,28502.150072347238,2806.132371990666,1368.1671388271714,431.5557486133726,136.81671388271712,3.0,10.0,19.0
88e9a00c-e378-4155-908e-bc2144927399,98e83239-9acf-4fe5-a8cc-37ccf187885f,10,2.0,0.5,6,7,1.8,3,8,random,0.00016009879609784388,0,,4,0,0.14444444444444443,greedy,success,0.39,0.0,0.02454090118408203,0.02454090118408203,0.04442906379699707,0.04338192939758301,73776.0,49036.659249341734,1621.6043346995837,818.0539403671006,1.9846516851794278e-07,204.51348509177515,3.0,8.0,5.0
861aaef5-87e6-4b56-9d24-21a9affbb549,cf00a957-ddb6-48bb-9422-b7f678548349,10,2.0,0.5,6,7,1.8,3,8,random,0.0001547436863541625,0,,8,0,0.15555555555555556,greedy,success,0.76,0.01,0.01539921760559082,0.025399217605590822,0.05605292320251465,0.05400395393371582,28788.0,19345.39695800394,3444.455707480323,1272.4153897868994,1.4373483153529725,159.05192372336242,3.0,10.0,9.0
